,Name,Author,Rating,Number of Reviews,Price,Type
78,Life's Amazing Secrets: How to find Bala,Gaur Gopal Das,4.6 out of 5 stars,"22,677",₹145.00,Paperback
79,"Oswaal CBSE Sample Question Papers Class 10 English, Science, Social Science & Maths Standard (Set of 4 Books) (For Board Exams 2024) | 2023-24",Oswaal Editorial Board,4.2 out of 5 stars,19,"₹1,164.00",Product Bundle
80,CGL Practice King 3000+ TCS MCQ | Chapter Wise | Gagan Pratap Sir | Champion Publication,Gagan Pratap,5.0 out of 5 stars,1,₹299.00,Perfect Paperback
81,Aapke Avchetan Man Ki Shakti(Hindi Translation of The Power of Your Subconscious Mind),Joseph Murphy,4.4 out of 5 stars,"13,623",₹89.00,Paperback
82,KARMA: A YOGI'S GUIDE TO CRAFTING YOUR DESTINY,Sadhguru,4.7 out of 5 stars,"14,706",₹168.00,Paperback
83,101 Copy Coloring: Fun Activity Book For Children,Wonder House Books,4.5 out of 5 stars,"1,727",₹148.00,Paperback
84,The Alchemist,Paulo Coelho,4.6 out of 5 stars,"141,810",₹280.00,Paperback
85,Meditations,Marcus Aurelius,4.3 out of 5 stars,"2,809",₹99.00,Paperback
86,Hindus in Hindu Rashtra (Eighth-Class Citizens and Victims of State- Sanctioned Apartheid),Anand Ranganathan,4.8 out of 5 stars,"1,045",₹169.00,Hardcover
87,"Thinking, Fast & Slow (L)",Daniel Kahneman,4.5 out of 5 stars,"28,174",₹361.00,Paperback
88,N/A,N/A,4.6 out of 5 stars,64,₹487.00,Product Bundle
89,Encyclopedia: Amazing Questions & Answers Science,Om Books Editorial Team,4.5 out of 5 stars,"3,188",₹126.00,Paperback
90,"BRAIN GAMES FOR CLEVER KIDS [Paperback] Moore, Gareth",Gareth Moore,4.3 out of 5 stars,"10,320",₹149.00,Paperback
91,Word Power Made Easy [Paperback] Norman Lewis,Norman Lewis,4.4 out of 5 stars,"47,403",₹106.00,Paperback
92,2023 - Edition - Lucent's General Knowledge - English Medium - Original Copy,Dr. Binay Karna,4.3 out of 5 stars,510,₹200.00,Paperback
93,"Dhan Sampatti Ka Manovigyan (The Psychology Of Money) [Paperback] Housel, Morgan and Asma",Morgan Housel,4.3 out of 5 stars,"2,901",₹144.95,Paperback
94,King of Greed: 3 (Kings of Sin),Ana Huang,4.3 out of 5 stars,"6,733",₹399.00,Paperback
95,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time [Paperback] Brian Tracy,TRACY BRIAN,4.6 out of 5 stars,"7,881",₹187.00,Paperback
96,"Best Books Series Set of 3 Hidden Hindu Triology | The Hidden Hindu + The Hidden Hindu 2 + The Hidden Hindu 3 | Saat Chiranjeevi ""सात चिरंजीवी"" Book in Hindi by Akshat Gupta- PB",Akshat Gupta,4.6 out of 5 stars,5,₹477.00,Paperback
97,"Arihant CBSE Sample Question Papers Science, Social Science, Mathematics Standard & English Class 10 (Set of 4 Books) For 2024 Board Exams","Rudraksh Tripathi Punya Pratap, Pooja Yadav, Anuksha Arora Sunil Rathore, Chanchal Sharma",4.2 out of 5 stars,32,₹769.00,Paperback
98,Oswaal CBSE Class 10 Mathematics Standard Question Bank (For 2024 Board Exams),Oswaal Editorial Board,4.3 out of 5 stars,329,₹477.00,Paperback
99,"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET Books (Latest & Revised Edition 2023-2024)",MTG Editorial Board,4.5 out of 5 stars,906,₹602.00,Paperback
100,Think and Grow Rich THE 21st CENTURY EDITION,Napoleon Hill,4.5 out of 5 stars,"4,962",₹98.00,Paperback
101,Grandparents' Bag of Stories [Paperback] Sudha Murty,Murty Sudha,4.7 out of 5 stars,"4,957",₹162.00,Paperback
102,All In One Class 10th Science for CBSE Exam 2024,"Sanubia & Rashmi Gupta Sonal Singh & Ruchi Kapoor , Imran Ahmad ",4.3 out of 5 stars,344,₹378.00,Paperback
103,"MTG International Mathematics Olympiad (IMO) Workbook for Class 2 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.4 out of 5 stars,232,₹65.00,Paperback
104,Never Split the Difference : Negotiating as if Your Life Depended on It,Chris Voss,4.6 out of 5 stars,"39,653",₹385.00,Paperback
105,My First Padded Board Books of Nursery Rhymes : Illustrated Traditional Nursery Rhymes,Wonder House Books,4.6 out of 5 stars,"4,148",₹178.00,Board book
106,The Richest Man In Babylon - Fingerprint!,George S. Clason,4.5 out of 5 stars,"43,440",₹98.00,Paperback
107,Price Action Trading : Technical Analysis Simplified! by Sunil Gurjar (Chartmojo) - Chart Patterns | Candlestick Patterns | Breakout Patterns & Lot More !,Sunil Gurjar (Chartmojo),4.3 out of 5 stars,"2,264",₹316.00,Paperback
108,"108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,4.4 out of 5 stars,"3,896",₹110.00,Paperback
109,The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.6 out of 5 stars,"15,993",₹264.00,Paperback
110,Arthashastra,KAUTILYA,4.4 out of 5 stars,"1,216",₹198.00,Paperback
111,"MTG International Mathematics Olympiad (IMO) Workbook for Class 5 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.6 out of 5 stars,217,₹65.00,Paperback
112,The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,4.4 out of 5 stars,"19,726",₹168.00,Paperback
113,Math Concept King All Formulas and Theorum Latest 2023 Edition | Gagan Pratap Sir | Champion Publication,Gagan Pratap Sir,4.2 out of 5 stars,659,₹120.00,Perfect Paperback
114,"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colouring with reference guide [Paperback] Maple Press",Maple Press,4.4 out of 5 stars,"1,795",₹93.00,Paperback
115,"My First Shaped Board book - Elephant, Die-Cut Animals, Picture Book for Children",Wonder House Books,4.5 out of 5 stars,464,₹88.00,Board book
116,Arihant All In One Class 12th English Core for CBSE Exam 2024,Vaishali Jaiswal Srishti Agarwal ,4.4 out of 5 stars,214,₹332.00,Paperback
117,Win Your Inner Battles,Darius Foroux,4.5 out of 5 stars,"2,576",₹118.00,Paperback
118,"Atomic Habits: Chote Badlav, Asadharan Parinaam - Hindi",Sudhir Dixit,4.5 out of 5 stars,"3,147",₹228.00,Paperback
119,"Oswaal CBSE 10 Previous Years' Solved Papers, Class 10 (Mathematics Standard, Science, Sanskrit, Computer Applications, English Lang. & Lit. & Social Science) (For 2024 Exam)",Oswaal Editorial Board,4.6 out of 5 stars,164,₹720.00,Paperback
120,Arihant CBSE Chapterwise Solved Papers 2023-2010 Physics Class 12th,Punya Pratap SK Singh ,4.4 out of 5 stars,51,₹224.00,Paperback
121,"The Power of One Thought : Master Your Mind, Master Your Life",BK Shivani,4.8 out of 5 stars,312,₹203.00,Paperback
122,"Oswal - Gurukul 10 Years Solved Papers for ICSE 10 Exam 2024 - Comprehensive Handbook of 17 Subjects - Yearwise Board Solutions, Revised Syllabus",Oswal - Gurukul,4.4 out of 5 stars,169,₹837.00,Paperback
123,Brain Boosting Activity Book for Kids – 200+ Activities for Age 3+,Maple Press,4.5 out of 5 stars,"1,088",₹85.00,Paperback
124,"Time And Self Management, टाइम मैनेजमेंट बुक Book in Marathi, Books, मराठी पुस्तके, Veleche Vyavasthapan and Student Bindra, वेळेचे व्यवस्थापन Book टाईम मॅनेजमेंट पुस्तक, ani Safalta Vivek मॅनेजेंट पुस्तकं, बुक्स, Self Help, Selfhelp, Kanchan Dixit, कांचन दिक्षित, दीक्षित",Kanchan Dixit,5.0 out of 5 stars,1,₹212.00,Paperback
125,Dopamine Detox. (Original Imported Book),PIRATED BOOK,4.0 out of 5 stars,104,₹89.00,Paperback
126,"MTG International Mathematics Olympiad (IMO) Workbook for Class 3 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.5 out of 5 stars,702,₹65.00,Paperback
127,Oswaal CBSE Sample Question Papers Class 10 Social Science Book (For Board Exams 2024) | 2023-24,Oswaal Editorial Board,4.9 out of 5 stars,36,₹290.00,Paperback
128,Srimad Bhagavad Gita (HINDI),RR Varma,4.5 out of 5 stars,"1,713",₹229.00,Paperback
129,"MTG Objective NCERT at your FINGERTIPS Chemistry - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET-JEE Books (Latest & Revised Edition 2023-2024)",MTG Editorial Board,4.4 out of 5 stars,397,₹529.00,Paperback
130,Oswaal CBSE Class 10 Social Science Question Bank (For 2024 Board Exams),Oswaal Editorial Board,4.4 out of 5 stars,414,₹473.00,Paperback
131,The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"32,787",₹185.95,Paperback
